to encompass	a înconjura
to encourage	a încuraja
to end	a sfârși
to endow	a dota
to endure	a răbda
to enjoy	a se bucura
to enter	a intra
to entertain	a distra
to enthrall	a captiva
to entrust	a încredința
to equal	a egala
to erase	a șterge
to escape	a scăpa
to exceed	a întrece
to exchange	a schimba
to excuse	a scuza
to exempt	a scuti
to exercise	a exersa
to exhaust	a epuiza
to exhibit	a expune
to exhort	a exorta
to exist	a exista
to explain	a explica
to explode	a exploda
to express	a exprima
to extinguish	a stinge
to fade	a păli
to fail	a pica
to fall	a cădea
to fasten	a prinde
to fatigue	a obosi
to fear	a se teme
to feed	a hrăni
to feel	a simți
to fight	a lupta
to fill	a umple
to find	a găsi
to fish	a pescui
to fix	a fixa
to flatten	a aplatiza
to flatten	a turti
to flatter	a flata
to flee	a fugi
to float	a pluti
to flow	a curge
to fly	a zbura
to fold	a împături
to fold	a îndoi
to follow	a urma
to forbid	a interzice
to force	a forța
to foresee	a prevedea
to forget	a uita
to forgive	a ierta
to form	a forma
to forsake	a parăsi
to fortify	a fortifica
to free	a libera
to freeze	a îngheța
to frighten	a speria
to fry	a prăji
to furnish	a furniza
to furnish	a mobila
to gain	a câștiga
to garden	a grădina
to gather	a aduna
to get	a obține
to get married	a se căsători
to give	a da
to gleam	a luci
to glide	a luneca
to glimpse	a zări
to glue	a lipi
to go	a se duce
to grab	a apuca
to greet	a saluta
to grieve	a necăji
to grind	a măcina
to grow	a crește
to grow thin	a slăbi
to grumble	a bombăni
to grumble	a mormăi
to guard	a păzi
to guess	a ghici
to guide	a conduce
to hack	a ciopârți
to hail	a cădea grindină
to hammer	a bate cu ciocanul
to handle	a mânui
to hang	a atârna
to harass	a hărțui
to harvest	a recolta
to hate	a urî
to have	a avea
to have to	a trebui
to heal	a vindeca
